"","1026","1028","1030","1032","1034","1036","1038","1040","1042","1044","H1","H10","H11","H12","H2","H3","H4","H5","H6","H7","H8","H9"
"MSTRG.73562.1",22,43,31,14,41,6,33,43,11,25,26,38,52,50,90,64,54,89,86,49,13,26
"MSTRG.102247.1",27,39,24,24,0,57,46,4,9,13,31,0,971,2550,6,76,738,171,11,35,0,9
"MSTRG.69111.1",136,205,117,133,169,132,230,232,139,64,221,152,159,249,300,268,211,200,180,262,169,191
"MSTRG.78522.1",1036,2098,828,319,1397,350,1039,953,477,446,1459,1303,1280,1672,1899,1435,3240,1840,1685,2383,824,432
"MSTRG.97017.1",128,65,76,60,60,92,98,88,72,60,130,92,47,83,83,158,57,61,56,62,101,102
"MSTRG.89338.1",694,1134,571,386,834,645,915,1308,533,338,723,825,636,816,1036,1542,1088,895,1263,1102,493,604
"MSTRG.100496.1",223,416,166,176,267,194,333,505,145,137,201,141,248,232,313,552,468,394,431,505,180,173
"MSTRG.45994.1",54,78,32,30,60,52,74,69,37,23,36,59,37,77,87,97,115,116,97,115,44,63
"MSTRG.20972.1",120,31,127,66,49,113,72,51,49,58,193,53,35,122,70,90,54,48,38,45,174,158
"MSTRG.30337.1",46,153,49,24,113,61,141,184,31,47,62,138,81,59,148,183,155,185,103,237,30,65
"MSTRG.109489.1",53,804,64,124,207,87,500,1332,113,30,81,551,497,144,87,878,480,1169,1410,1405,33,54
"MSTRG.71456.1",41,30,104,27,23,30,21,32,23,25,65,59,10,22,22,41,26,28,27,28,43,59
"MSTRG.70580.1",349,659,292,362,426,279,460,1167,291,161,287,364,359,620,454,848,596,569,702,801,184,266
"MSTRG.25486.1",248,50,87,72,39,166,43,133,71,96,222,48,47,107,55,287,53,61,93,67,136,344
"MSTRG.104654.1",19,70,22,14,104,35,72,69,22,14,22,60,41,87,17,62,226,179,128,108,22,41
"MSTRG.475.1",56,10,35,52,17,34,25,41,49,54,63,41,31,21,28,79,18,18,49,31,31,70
"MSTRG.46626.1",52,19,79,110,33,57,48,100,56,89,123,94,17,47,46,84,23,27,47,30,39,134
"MSTRG.56119.1",61,134,48,38,102,76,119,171,49,35,88,95,125,95,127,292,185,159,199,255,74,78
"MSTRG.91122.1",37,67,7,25,71,16,47,66,15,15,30,48,50,44,100,29,105,72,39,66,11,29
"MSTRG.29625.1",212,333,144,173,204,121,293,346,137,138,185,226,216,220,470,271,246,234,230,314,131,162
"MSTRG.72704.1",341,1460,151,265,240,88,963,1125,131,142,688,617,657,375,903,1283,1201,1035,860,1001,220,197
"MSTRG.89245.1",164,350,162,148,264,224,206,254,148,103,209,187,193,327,335,383,336,422,314,357,180,196
"MSTRG.63038.1",62,115,57,42,132,64,101,111,27,21,74,76,127,140,144,205,172,169,140,143,88,95
"MSTRG.61426.1",99,63,82,49,44,144,51,71,50,39,188,66,39,80,63,159,74,66,58,70,88,130
